Id;Namn;Ägare;Nät;Latitud;Longitud;Höjd (m);Från;Till;Aktiv;Mobil;Vattendrag;Vattendragsnr;Area (km²)
66470;Ekerum;SMHI;SMHIs stationsnät;56,7849;16,5812;40;1942-02-01;1973-11-01;Nej;Nej;undefined;NaN;NaN
96140;Eklången;SMHI;SMHIs stationsnät;59,2358;16,7429;35;1993-11-01;2014-07-01;Nej;Nej;undefined;NaN;NaN
103101;Ekshärad;SMHI;SMHIs stationsnät;60,1750;13,5000;179;1921-07-01;1927-01-01;Nej;Nej;undefined;NaN;NaN
98630;Ekskogen;SMHI;SMHIs stationsnät;59,6330;18,2298;4;1940-11-01;1952-11-01;Nej;Nej;undefined;NaN;NaN
72531;Ellesbo;SMHI;SMHIs stationsnät;57,8346;12,0040;385;1921-07-01;1924-05-01;Nej;Nej;undefined;NaN;NaN
99999;Enar-test;SMHI;Övriga stationer;58,5933;16,1589;12;2013-01-01;2018-12-01;Nej;Nej;undefined;NaN;NaN
97370;Enköping;Försvarsmakten;SMHIs stationsnät;59,6500;17,1200;24,6;2007-09-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
18;Enköping;Icke namngiven ägare;Övriga stationer;59,7000;17,0000;15;2013-01-01;2022-03-01;Nej;Nej;undefined;NaN;NaN
82380;Erikstad;SMHI;SMHIs stationsnät;58,6336;12,4129;65;1964-04-01;1988-03-01;Nej;Nej;undefined;NaN;NaN
96230;Eskilstuna;SMHI;SMHIs stationsnät;59,3850;16,4598;9;1937-04-01;1984-01-01;Nej;Nej;undefined;NaN;NaN
96190;Eskilstuna A;SMHI;SMHIs stationsnät;59,3825;16,4522;10,4;1990-11-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
53541;Eslöv;SMHI;SMHIs stationsnät;55,8336;13,3132;65;1932-05-01;1940-11-01;Nej;Nej;undefined;NaN;NaN
181970;Esrange;SMHI;SMHIs stationsnät;67,8907;21,0832;320,617;1994-01-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
63470;Exens flygplats;SMHI;SMHIs stationsnät;56,6778;13,7792;127;1951-01-01;1961-01-01;Nej;Nej;undefined;NaN;NaN
98640;Experimentalfältet;SMHI;SMHIs stationsnät;59,3664;18,0633;14;1951-01-01;1963-01-01;Nej;Nej;undefined;NaN;NaN
72120;Fagered;SMHI;SMHIs stationsnät;57,1978;12,8129;100;1945-01-01;2007-01-01;Nej;Nej;undefined;NaN;NaN
107330;Fagerviken;SMHI;SMHIs stationsnät;60,5420;17,7478;5;1966-11-01;1979-01-01;Nej;Nej;undefined;NaN;NaN
86090;Falerum;SMHI;SMHIs stationsnät;58,1425;16,2102;80;1968-07-01;1979-05-01;Nej;Nej;undefined;NaN;NaN
62520;Falkenberg;SMHI;SMHIs stationsnät;56,8994;12,4798;5;1998-12-01;2003-07-01;Nej;Nej;undefined;NaN;NaN
83090;Falköping;SMHI;SMHIs stationsnät;58,1584;13,5397;205;1951-06-01;1973-04-01;Nej;Nej;undefined;NaN;NaN
52230;Falsterbo;SMHI;SMHIs stationsnät;55,3837;12,8167;1,541;1880-01-01;2023-10-01;Nej;Nej;undefined;NaN;NaN
52240;Falsterbo A;SMHI;SMHIs stationsnät;55,3837;12,8166;1,575;2009-07-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
105370;Falun-Lugnet;SMHI;SMHIs stationsnät;60,6185;15,6574;161,395;1860-01-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
98620;Farsta;SMHI;SMHIs stationsnät;59,3165;18,3664;6;1945-02-01;1970-10-01;Nej;Nej;undefined;NaN;NaN
